Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,
Data,7,record,timestamp,"1035520560",s,distance,"1163.62",m,speed,"2.906",m/s,cadence,"87",rpm,enhanced_speed,"2.906",m/s,
Data,7,record,timestamp,"1035520568",s,distance,"1185.84",m,speed,"3.064",m/s,cadence,"86",rpm,enhanced_speed,"3.064",m/s,
Data,7,record,timestamp,"1035520575",s,distance,"1207.76",m,speed,"3.132",m/s,cadence,"88",rpm,enhanced_speed,"3.132",m/s,
Data,7,record,timestamp,"1035520582",s,distance,"1229.32",m,speed,"3.086",m/s,cadence,"88",rpm,enhanced_speed,"3.086",m/s,
Data,7,record,timestamp,"1035520589",s,distance,"1250.73",m,speed,"2.921",m/s,cadence,"89",rpm,enhanced_speed,"2.921",m/s,
Data,7,record,timestamp,"1035520596",s,distance,"1272.04",m,speed,"3.123",m/s,cadence,"86",rpm,enhanced_speed,"3.123",m/s,
Data,7,record,timestamp,"1035520603",s,distance,"1293.53",m,speed,"3.231",m/s,cadence,"88",rpm,enhanced_speed,"3.231",m/s,
Data,7,record,timestamp,"1035520610",s,distance,"1315.89",m,speed,"3.207",m/s,cadence,"88",rpm,enhanced_speed,"3.207",m/s,
Data,7,record,timestamp,"1035520617",s,distance,"1338.08",m,speed,"3.026",m/s,cadence,"88",rpm,enhanced_speed,"3.026",m/s,
Data,7,record,timestamp,"1035520624",s,distance,"1359.06",m,speed,"2.993",m/s,cadence,"87",rpm,enhanced_speed,"2.993",m/s,
Data,7,record,timestamp,"1035520631",s,distance,"1379.42",m,speed,"2.927",m/s,cadence,"87",rpm,enhanced_speed,"2.927",m/s,
Data,7,record,timestamp,"1035520638",s,distance,"1400.93",m,speed,"3.194",m/s,cadence,"86",rpm,enhanced_speed,"3.194",m/s,
Data,7,record,timestamp,"1035520645",s,distance,"1423.96",m,speed,"3.255",m/s,cadence,"88",rpm,enhanced_speed,"3.255",m/s,
Data,7,record,timestamp,"1035520652",s,distance,"1446.47",m,speed,"3.202",m/s,cadence,"88",rpm,enhanced_speed,"3.202",m/s,
Data,7,record,timestamp,"1035520659",s,distance,"1468.18",m,speed,"2.913",m/s,cadence,"87",rpm,enhanced_speed,"2.913",m/s,
Data,7,record,timestamp,"1035520666",s,distance,"1488.59",m,speed,"2.765",m/s,cadence,"87",rpm,enhanced_speed,"2.765",m/s,
Data,7,record,timestamp,"1035520673",s,distance,"1510.02",m,speed,"3.262",m/s,cadence,"87",rpm,enhanced_speed,"3.262",m/s,
Data,7,record,timestamp,"1035520680",s,distance,"1532.43",m,speed,"3.084",m/s,cadence,"89",rpm,enhanced_speed,"3.084",m/s,
Data,7,record,timestamp,"1035520687",s,distance,"1554.56",m,speed,"3.067",m/s,cadence,"88",rpm,enhanced_speed,"3.067",m/s,
Data,7,record,timestamp,"1035520694",s,distance,"1576.14",m,speed,"3.004",m/s,cadence,"88",rpm,enhanced_speed,"3.004",m/s,
Data,7,record,timestamp,"1035520701",s,distance,"1596.73",m,speed,"2.897",m/s,cadence,"87",rpm,enhanced_speed,"2.897",m/s,
Data,7,record,timestamp,"1035520706",s,distance,"1610.95",m,speed,"3.015",m/s,cadence,"86",rpm,enhanced_speed,"3.015",m/s,
Data,7,record,timestamp,"1035520707",s,distance,"1613.93",m,speed,"2.979",m/s,cadence,"87",rpm,enhanced_speed,"2.979",m/s,
