Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,x
Data,7,record,timestamp,1032240582,s,position_lat,522153056,semicircles,position_long,134995843,semicircles,distance,3601.122,m,speed,3.054,m/s,cadence,87,rpm,enhanced_speed,3.054,m/s,
Data,7,record,timestamp,1032240589,s,position_lat,522153404,semicircles,position_long,134998946,semicircles,distance,3619.726,m,speed,3.054,m/s,cadence,88,rpm,enhanced_speed,3.054,m/s,
Data,7,record,timestamp,1032240596,s,position_lat,522154222,semicircles,position_long,135002060,semicircles,distance,3638.33,m,speed,3.032,m/s,cadence,88,rpm,enhanced_speed,3.032,m/s,
Data,7,record,timestamp,1032240603,s,position_lat,522155309,semicircles,position_long,135004856,semicircles,distance,3656.934,m,speed,3.027,m/s,cadence,87,rpm,enhanced_speed,3.027,m/s,
Data,7,record,timestamp,1032240610,s,position_lat,522156344,semicircles,position_long,135007630,semicircles,distance,3675.538,m,speed,3.027,m/s,cadence,86,rpm,enhanced_speed,3.027,m/s,
Data,7,record,timestamp,1032240617,s,position_lat,522156790,semicircles,position_long,135010597,semicircles,distance,3694.142,m,speed,3.042,m/s,cadence,87,rpm,enhanced_speed,3.042,m/s,
Data,7,record,timestamp,1032240624,s,position_lat,522156632,semicircles,position_long,135011391,semicircles,distance,3712.746,m,speed,3.052,m/s,cadence,88,rpm,enhanced_speed,3.052,m/s,
Data,7,record,timestamp,1032240631,s,position_lat,522155728,semicircles,position_long,135014502,semicircles,distance,3731.35,m,speed,3.022,m/s,cadence,87,rpm,enhanced_speed,3.022,m/s,
Data,7,record,timestamp,1032240638,s,position_lat,522155909,semicircles,position_long,135015043,semicircles,distance,3749.954,m,speed,3.061,m/s,cadence,86,rpm,enhanced_speed,3.061,m/s,
Data,7,record,timestamp,1032240645,s,position_lat,522157605,semicircles,position_long,135017374,semicircles,distance,3768.558,m,speed,3.043,m/s,cadence,87,rpm,enhanced_speed,3.043,m/s,
Data,7,record,timestamp,1032240652,s,position_lat,522158136,semicircles,position_long,135018960,semicircles,distance,3787.162,m,speed,3.045,m/s,cadence,88,rpm,enhanced_speed,3.045,m/s,
Data,7,record,timestamp,1032240659,s,position_lat,522158933,semicircles,position_long,135022004,semicircles,distance,3805.766,m,speed,3.033,m/s,cadence,88,rpm,enhanced_speed,3.033,m/s,
Data,7,record,timestamp,1032240666,s,position_lat,522159572,semicircles,position_long,135024968,semicircles,distance,3824.37,m,speed,3.042,m/s,cadence,86,rpm,enhanced_speed,3.042,m/s,
Data,7,record,timestamp,1032240673,s,position_lat,522160192,semicircles,position_long,135028028,semicircles,distance,3842.974,m,speed,3.039,m/s,cadence,88,rpm,enhanced_speed,3.039,m/s,
Data,7,record,timestamp,1032240680,s,position_lat,522161271,semicircles,position_long,135031024,semicircles,distance,3861.578,m,speed,2.947,m/s,cadence,86,rpm,enhanced_speed,2.947,m/s,
Data,7,record,timestamp,1032240687,s,position_lat,522162090,semicircles,position_long,135033792,semicircles,distance,3880.182,m,speed,2.79,m/s,cadence,87,rpm,enhanced_speed,2.79,m/s,
Data,7,record,timestamp,1032240694,s,position_lat,522163428,semicircles,position_long,135036192,semicircles,distance,3898.786,m,speed,2.998,m/s,cadence,83,rpm,enhanced_speed,2.998,m/s,
Data,7,record,timestamp,1032240701,s,position_lat,522164845,semicircles,position_long,135038789,semicircles,distance,3917.39,m,speed,2.114,m/s,cadence,82,rpm,enhanced_speed,2.114,m/s,
Data,7,record,timestamp,1032240708,s,position_lat,522164406,semicircles,position_long,135039495,semicircles,distance,3935.994,m,speed,2.126,m/s,cadence,84,rpm,enhanced_speed,2.126,m/s,
Data,7,record,timestamp,1032240715,s,position_lat,522163703,semicircles,position_long,135041152,semicircles,distance,3954.598,m,speed,2.619,m/s,cadence,86,rpm,enhanced_speed,2.619,m/s,
Data,7,record,timestamp,1032240722,s,position_lat,522163761,semicircles,position_long,135043197,semicircles,distance,3973.202,m,speed,2.799,m/s,cadence,88,rpm,enhanced_speed,2.799,m/s,
Data,7,record,timestamp,1032240729,s,position_lat,522163832,semicircles,position_long,135046371,semicircles,distance,3991.806,m,speed,3.045,m/s,cadence,91,rpm,enhanced_speed,3.045,m/s,
Data,7,record,timestamp,1032240736,s,position_lat,522164084,semicircles,position_long,135049673,semicircles,distance,4010.41,m,speed,3.088,m/s,cadence,89,rpm,enhanced_speed,3.088,m/s,
Data,7,record,timestamp,1032240743,s,position_lat,522164262,semicircles,position_long,135052890,semicircles,distance,4029.014,m,speed,3.152,m/s,cadence,88,rpm,enhanced_speed,3.152,m/s,
Data,7,record,timestamp,1032240750,s,position_lat,522164437,semicircles,position_long,135056016,semicircles,distance,4047.618,m,speed,3.169,m/s,cadence,88,rpm,enhanced_speed,3.169,m/s,
Data,7,record,timestamp,1032240757,s,position_lat,522164595,semicircles,position_long,135059269,semicircles,distance,4066.222,m,speed,3.175,m/s,cadence,87,rpm,enhanced_speed,3.175,m/s,
Data,7,record,timestamp,1032240764,s,position_lat,522164721,semicircles,position_long,135062408,semicircles,distance,4084.826,m,speed,3.333,m/s,cadence,86,rpm,enhanced_speed,3.333,m/s,
Data,7,record,timestamp,1032240771,s,position_lat,522164666,semicircles,position_long,135065589,semicircles,distance,4103.43,m,speed,2.887,m/s,cadence,87,rpm,enhanced_speed,2.887,m/s,
Data,7,record,timestamp,1032240778,s,position_lat,522164710,semicircles,position_long,135068675,semicircles,distance,4122.034,m,speed,2.809,m/s,cadence,87,rpm,enhanced_speed,2.809,m/s,
Data,7,record,timestamp,1032240785,s,position_lat,522165186,semicircles,position_long,135071842,semicircles,distance,4140.638,m,speed,2.613,m/s,cadence,88,rpm,enhanced_speed,2.613,m/s,
Data,7,record,timestamp,1032240792,s,position_lat,522166239,semicircles,position_long,135074746,semicircles,distance,4159.242,m,speed,2.607,m/s,cadence,87,rpm,enhanced_speed,2.607,m/s,
Data,7,record,timestamp,1032240799,s,position_lat,522167268,semicircles,position_long,135077479,semicircles,distance,4177.846,m,speed,2.661,m/s,cadence,86,rpm,enhanced_speed,2.661,m/s,
Data,7,record,timestamp,1032240805,s,position_lat,522168507,semicircles,position_long,135079973,semicircles,distance,4196.45,m,speed,2.677,m/s,cadence,87,rpm,enhanced_speed,2.677,m/s,
Data,7,record,timestamp,1032240812,s,position_lat,522169786,semicircles,position_long,135082542,semicircles,distance,4215.054,m,speed,2.627,m/s,cadence,86,rpm,enhanced_speed,2.627,m/s,
Data,7,record,timestamp,1032240819,s,position_lat,522170978,semicircles,position_long,135085486,semicircles,distance,4233.658,m,speed,2.584,m/s,cadence,86,rpm,enhanced_speed,2.584,m/s,
Data,7,record,timestamp,1032240826,s,position_lat,522172079,semicircles,position_long,135088055,semicircles,distance,4252.262,m,speed,2.538,m/s,cadence,86,rpm,enhanced_speed,2.538,m/s,
Data,7,record,timestamp,1032240833,s,position_lat,522173047,semicircles,position_long,135090971,semicircles,distance,4270.866,m,speed,2.45,m/s,cadence,86,rpm,enhanced_speed,2.45,m/s,
Data,7,record,timestamp,1032240840,s,position_lat,522174187,semicircles,position_long,135093691,semicircles,distance,4289.47,m,speed,2.468,m/s,cadence,86,rpm,enhanced_speed,2.468,m/s,
Data,7,record,timestamp,1032240847,s,position_lat,522175984,semicircles,position_long,135095524,semicircles,distance,4308.074,m,speed,2.496,m/s,cadence,86,rpm,enhanced_speed,2.496,m/s,
Data,7,record,timestamp,1032240854,s,position_lat,522177601,semicircles,position_long,135097600,semicircles,distance,4326.678,m,speed,2.484,m/s,cadence,86,rpm,enhanced_speed,2.484,m/s,
Data,7,record,timestamp,1032240861,s,position_lat,522179143,semicircles,position_long,135099802,semicircles,distance,4345.282,m,speed,2.518,m/s,cadence,86,rpm,enhanced_speed,2.518,m/s,
Data,7,record,timestamp,1032240868,s,position_lat,522180603,semicircles,position_long,135102060,semicircles,distance,4363.886,m,speed,2.565,m/s,cadence,84,rpm,enhanced_speed,2.565,m/s,
Data,7,record,timestamp,1032240875,s,position_lat,522181911,semicircles,position_long,135104322,semicircles,distance,4382.49,m,speed,2.755,m/s,cadence,0,rpm,enhanced_speed,2.755,m/s,
Data,7,record,timestamp,1032240882,s,position_lat,522182892,semicircles,position_long,135105318,semicircles,distance,4401.094,m,speed,0,m/s,cadence,88,rpm,enhanced_speed,0,m/s,
